,t,c,o,h,l,v,s,point
0,02/01/2008,6.13,6.09,6.13,6.05,156160,ok,68
1,03/01/2008,6.01,6.05,6.09,6.01,111990,ok,68
2,04/01/2008,5.93,5.97,5.97,5.93,66670,ok,68
3,07/01/2008,5.85,5.89,5.93,5.78,117490,ok,68
4,08/01/2008,5.89,5.85,6.01,5.85,109010,ok,68
5,09/01/2008,5.82,5.89,5.93,5.82,56360,ok,68
6,10/01/2008,5.58,5.62,5.7,5.58,291740,ok,68
7,11/01/2008,5.66,5.62,5.7,5.62,78900,ok,67.5
8,14/01/2008,5.66,5.85,5.85,5.66,215790,ok,70
9,15/01/2008,5.42,5.46,5.5,5.38,199290,ok,70
10,16/01/2008,5.66,5.58,5.66,5.58,171870,ok,70
11,17/01/2008,5.66,5.89,5.93,5.5,248700,ok,70
12,18/01/2008,5.74,5.66,5.78,5.58,187430,ok,70
13,21/01/2008,5.58,5.66,5.66,5.58,189070,ok,65
14,22/01/2008,5.46,5.43,5.54,5.43,165780,ok,65
15,23/01/2008,5.23,5.37,5.4,5.23,227280,ok,65
16,25/01/2008,5.32,5.23,5.32,5.23,84860,ok,65
17,28/01/2008,5.32,5.32,5.32,5.26,106560,ok,65
18,29/01/2008,5.4,5.26,5.4,5.26,188520,ok,75
19,30/01/2008,5.66,5.66,5.66,5.66,67320,ok,75
20,31/01/2008,5.83,5.54,5.83,5.49,181330,ok,75
21,01/02/2008,6.11,5.88,6.11,5.83,158800,ok,70
22,12/02/2008,5.94,6,6,5.88,109200,ok,70
23,13/02/2008,5.88,5.83,5.94,5.77,133470,ok,70
24,14/02/2008,5.94,5.88,6.05,5.88,64140,ok,85
25,15/02/2008,5.88,5.88,5.94,5.88,98660,ok,85
26,18/02/2008,5.71,5.71,5.71,5.63,106770,ok,85
27,19/02/2008,5.71,5.54,5.77,5.54,84920,ok,85
28,20/02/2008,5.66,5.71,5.77,5.63,186550,ok,45
29,21/02/2008,5.37,5.37,5.37,5.37,307420,ok,45
30,22/02/2008,5.2,5.2,5.2,5.12,90510,ok,45
31,25/02/2008,5.46,5.46,5.46,5.46,55810,ok,45
32,26/02/2008,5.43,5.43,5.54,5.34,144900,ok,65
33,27/02/2008,5.43,5.32,5.6,5.32,63040,ok,45
34,28/02/2008,5.51,5.49,5.51,5.43,68010,ok,48
35,29/02/2008,5.43,5.43,5.49,5.43,137890,ok,48
36,03/03/2008,5.17,5.37,5.37,5.17,120440,ok,60
37,04/03/2008,4.92,4.92,5.17,4.92,208800,ok,45
38,05/03/2008,4.81,4.69,4.92,4.69,270640,ok,45
39,06/03/2008,5.03,5.03,5.03,5.03,11150,ok,45
40,07/03/2008,5.26,5.26,5.26,5.26,113590,ok,45
41,10/03/2008,5.43,5.51,5.51,5.32,326010,ok,65
42,11/03/2008,5.29,5.26,5.32,5.23,100450,ok,40
43,12/03/2008,5.29,5.2,5.49,5.2,39920,ok,40
44,13/03/2008,5.32,5.49,5.49,5.26,46390,ok,40
45,14/03/2008,5.34,5.26,5.34,5.26,82740,ok,40
46,17/03/2008,5.23,5.2,5.32,5.2,128040,ok,40
47,18/03/2008,5.01,4.98,5.15,4.98,134940,ok,40
48,19/03/2008,5.01,5.01,5.15,4.98,45390,ok,40
49,20/03/2008,5.03,5.09,5.09,5.01,87310,ok,68
50,21/03/2008,4.98,5.03,5.03,4.92,52050,ok,68
51,24/03/2008,4.75,4.78,4.78,4.75,154630,ok,68
52,25/03/2008,4.53,4.53,4.55,4.53,178050,ok,68
53,26/03/2008,4.75,4.75,4.75,4.75,47960,ok,68
54,27/03/2008,4.78,4.78,4.78,4.78,51090,ok,68
55,28/03/2008,4.81,4.81,4.81,4.81,2070,ok,68
56,31/03/2008,4.84,4.84,4.84,4.84,3020,ok,68
57,01/04/2008,4.86,4.86,4.86,4.86,530,ok,68
58,02/04/2008,4.89,4.89,4.89,4.89,2360,ok,68
59,03/04/2008,4.92,4.92,4.92,4.92,33500,ok,45
60,04/04/2008,4.95,4.95,4.95,4.95,52460,ok,45
61,07/04/2008,5.03,5.03,5.03,5.03,2670,ok,83
62,08/04/2008,5.12,5.12,5.12,5.12,193450,ok,78
63,09/04/2008,5.2,5.2,5.2,5.2,22410,ok,78
64,10/04/2008,5.29,5.29,5.29,5.12,262980,ok,78
65,11/04/2008,5.23,5.2,5.23,5.2,164600,ok,78
66,16/04/2008,5.15,5.15,5.17,5.15,136390,ok,68
67,17/04/2008,5.23,5.06,5.23,5.06,154750,ok,68
68,18/04/2008,5.15,5.32,5.32,5.15,117310,ok,68
69,21/04/2008,5.2,5.15,5.2,5.09,82260,ok,68
70,22/04/2008,5.2,5.12,5.2,5.12,20670,ok,68
71,23/04/2008,5.12,5.12,5.12,5.12,68250,ok,68
72,24/04/2008,5.03,5.03,5.06,5.03,97210,ok,68
73,25/04/2008,5.12,4.98,5.12,4.98,31170,ok,68
74,28/04/2008,5.2,5.17,5.2,5.17,67610,ok,25
75,29/04/2008,5.29,5.29,5.29,5.2,142440,ok,25
76,05/05/2008,5.2,5.29,5.32,5.2,32320,ok,65
77,06/05/2008,5.12,5.12,5.12,5.12,4640,ok,38
78,07/05/2008,5.2,5.03,5.2,5.03,92580,ok,38
79,08/05/2008,5.2,5.12,5.2,5.12,87260,ok,38
80,09/05/2008,5.12,5.12,5.12,5.12,1320,ok,38
81,12/05/2008,5.03,5.03,5.03,5.03,660,ok,40
82,13/05/2008,4.95,4.95,4.95,4.95,60,ok,40
83,14/05/2008,4.86,4.86,4.86,4.86,230,ok,40
84,15/05/2008,4.78,4.81,4.81,4.78,4420,ok,40
85,16/05/2008,4.69,4.69,4.69,4.69,28510,ok,40
86,19/05/2008,4.61,4.61,4.61,4.61,84520,ok,70
87,20/05/2008,4.53,4.53,4.53,4.53,4270,ok,30
88,21/05/2008,4.44,4.44,4.44,4.44,470,ok,30
89,22/05/2008,4.36,4.36,4.36,4.36,90660,ok,70
90,23/05/2008,4.27,4.27,4.36,4.27,774950,ok,70
91,26/05/2008,4.18,4.18,4.18,4.18,432440,ok,70
92,30/05/2008,4.13,4.13,4.13,4.13,533870,ok,70
93,02/06/2008,4.07,4.07,4.07,4.07,309100,ok,70
94,03/06/2008,4.02,4.02,4.02,4.02,139990,ok,70
95,04/06/2008,4.07,3.96,4.07,3.96,217760,ok,70
96,05/06/2008,4.13,4.04,4.13,4.02,143800,ok,70
97,06/06/2008,4.18,4.18,4.18,4.18,59450,ok,70
98,09/06/2008,4.24,4.24,4.24,4.24,54800,ok,50
99,10/06/2008,4.16,4.16,4.18,4.16,35250,ok,66.5
100,11/06/2008,4.21,4.1,4.21,4.1,95560,ok,66.5
101,12/06/2008,4.27,4.27,4.27,4.27,34780,ok,66.5
102,13/06/2008,4.36,4.36,4.36,4.36,57400,ok,66.5
103,16/06/2008,4.44,4.44,4.44,4.44,5360,ok,66.5
104,17/06/2008,4.53,4.53,4.53,4.53,10520,ok,66.5
105,18/06/2008,4.53,4.61,4.61,4.44,319590,ok,50
106,19/06/2008,4.41,4.41,4.41,4.41,119040,ok,50
107,20/06/2008,4.53,4.3,4.53,4.3,272120,ok,50
108,23/06/2008,4.64,4.64,4.64,4.61,50530,ok,50
109,24/06/2008,4.75,4.75,4.75,4.75,36030,ok,50
110,25/06/2008,4.89,4.89,4.89,4.89,18180,ok,50
111,26/06/2008,5.01,5.03,5.03,4.86,116050,ok,50
112,27/06/2008,5.15,4.92,5.15,4.89,102260,ok,50
113,30/06/2008,5.29,5.15,5.29,5.15,63360,ok,50
114,01/07/2008,5.43,5.43,5.43,5.43,35400,ok,65
115,02/07/2008,5.57,5.57,5.57,5.37,121980,ok,65
116,03/07/2008,5.71,5.71,5.71,5.71,30380,ok,65
117,04/07/2008,5.66,5.88,5.88,5.66,173070,ok,65
118,07/07/2008,5.66,5.66,5.66,5.49,278490,ok,76
119,08/07/2008,5.66,5.51,5.66,5.49,234670,ok,76
120,09/07/2008,5.71,5.66,5.71,5.66,79660,ok,76
121,10/07/2008,5.77,5.66,5.77,5.6,133480,ok,76
122,11/07/2008,5.77,5.66,5.83,5.66,84100,ok,76
123,14/07/2008,5.94,5.83,5.94,5.77,103080,ok,76
124,15/07/2008,6.11,6.11,6.11,6.11,63290,ok,76
125,16/07/2008,6.11,6.22,6.22,5.94,100670,ok,76
126,17/07/2008,6.11,6.17,6.17,6,102320,ok,76
127,18/07/2008,6.11,5.94,6.11,5.94,131500,ok,76
128,21/07/2008,5.94,5.94,5.94,5.94,140410,ok,65
129,22/07/2008,5.77,5.77,5.77,5.77,113700,ok,65
130,24/07/2008,5.6,5.46,5.71,5.46,100040,ok,49
131,25/07/2008,5.71,5.49,5.71,5.49,29120,ok,35
132,28/07/2008,5.88,5.71,5.88,5.71,28360,ok,85
133,29/07/2008,6.05,6.05,6.05,5.94,37950,ok,85
134,30/07/2008,6.05,6.05,6.05,5.88,47730,ok,85
135,31/07/2008,6,5.88,6,5.88,35120,ok,70
136,01/08/2008,6,5.83,6,5.83,51080,ok,70
137,04/08/2008,6,5.88,6,5.83,42780,ok,30
138,05/08/2008,5.94,5.83,5.94,5.83,50090,ok,40
139,06/08/2008,6.11,6.11,6.11,6,30790,ok,40
140,07/08/2008,6.05,6.17,6.17,6.05,66220,ok,40
141,08/08/2008,6.05,6.05,6.05,6,57300,ok,40
142,11/08/2008,6.05,6.17,6.17,6.05,38800,ok,78
143,12/08/2008,6,5.94,6.05,5.94,34260,ok,78
144,13/08/2008,6.05,5.83,6.05,5.83,41550,ok,78
145,14/08/2008,6.22,6.05,6.22,6.05,176550,ok,78
146,15/08/2008,6.39,6.39,6.39,6.39,283800,ok,78
147,18/08/2008,6.67,6.67,6.67,6.62,385970,ok,45
148,19/08/2008,6.73,6.9,6.9,6.56,66730,ok,45
149,20/08/2008,6.45,6.45,6.56,6.45,91250,ok,68
150,21/08/2008,6.56,6.45,6.56,6.28,36350,ok,68
151,22/08/2008,6.33,6.56,6.56,6.33,134110,ok,68
152,25/08/2008,6.45,6.39,6.5,6.33,102310,ok,68
153,26/08/2008,6.45,6.5,6.5,6.28,135090,ok,68
154,27/08/2008,6.5,6.22,6.56,6.22,124110,ok,68
155,28/08/2008,6.33,6.22,6.45,6.22,107590,ok,68
156,29/08/2008,6.05,6.05,6.17,6.05,137120,ok,68
157,04/09/2008,5.88,6,6.05,5.88,113460,ok,68
158,05/09/2008,5.77,5.66,5.88,5.66,87480,ok,63
159,08/09/2008,5.83,5.49,5.83,5.49,104190,ok,38
160,09/09/2008,5.71,5.77,5.77,5.66,88690,ok,38
161,10/09/2008,5.43,5.71,5.71,5.43,98910,ok,38
162,11/09/2008,5.37,5.4,5.4,5.26,81150,ok,38
163,12/09/2008,5.12,5.12,5.32,5.12,110250,ok,68
164,15/09/2008,5.15,4.86,5.2,4.86,106760,ok,68
165,16/09/2008,4.89,5.15,5.15,4.89,68270,ok,68
166,17/09/2008,4.67,4.67,4.75,4.67,134340,ok,68
167,18/09/2008,4.44,4.44,4.44,4.44,8770,ok,68
168,19/09/2008,4.64,4.44,4.64,4.44,55080,ok,60
169,22/09/2008,4.86,4.86,4.86,4.86,1980,ok,60
170,23/09/2008,5.09,5.09,5.09,4.92,82530,ok,60
171,24/09/2008,4.92,4.86,5.2,4.86,121100,ok,60
172,25/09/2008,5.15,4.92,5.15,4.92,138590,ok,60
173,26/09/2008,5.4,5.4,5.4,5.29,141480,ok,60
174,29/09/2008,5.63,5.66,5.66,5.43,98040,ok,70
175,30/09/2008,5.37,5.37,5.37,5.37,65820,ok,70
176,01/10/2008,5.49,5.37,5.54,5.34,93830,ok,70
177,02/10/2008,5.6,5.66,5.66,5.54,83330,ok,70
178,03/10/2008,5.37,5.49,5.6,5.37,61480,ok,46.5
179,06/10/2008,5.12,5.15,5.29,5.12,80380,ok,46.5
180,07/10/2008,4.86,4.86,4.86,4.86,55180,ok,46.5
181,08/10/2008,4.75,4.64,4.98,4.64,66600,ok,46.5
182,09/10/2008,4.75,4.53,4.92,4.53,91600,ok,46.5
183,10/10/2008,4.55,4.55,4.61,4.55,96580,ok,46.5
184,13/10/2008,4.64,4.75,4.75,4.55,112380,ok,46.5
185,14/10/2008,4.86,4.86,4.86,4.86,46760,ok,46.5
186,15/10/2008,4.98,5.03,5.03,4.86,85490,ok,46.5
187,16/10/2008,4.78,4.75,4.92,4.75,93070,ok,46.5
188,17/10/2008,4.61,4.67,4.81,4.61,72950,ok,65
189,20/10/2008,4.5,4.5,4.61,4.5,56770,ok,55
190,21/10/2008,4.64,4.64,4.64,4.58,82250,ok,55
191,22/10/2008,4.67,4.47,4.67,4.47,75770,ok,55
192,23/10/2008,4.64,4.67,4.67,4.47,43120,ok,55
193,24/10/2008,4.44,4.44,4.5,4.44,83440,ok,37
194,27/10/2008,4.24,4.24,4.3,4.24,252280,ok,78
195,28/10/2008,4.04,4.04,4.04,4.04,32190,ok,78
196,29/10/2008,4.04,4.24,4.24,4.04,45410,ok,78
197,30/10/2008,3.87,3.85,3.9,3.85,113730,ok,78
198,31/10/2008,4.04,4.04,4.04,4.04,19370,ok,72
199,03/11/2008,4.04,4.04,4.07,4.04,76340,ok,72
200,04/11/2008,4.24,4.04,4.24,4.02,13750,ok,72
201,05/11/2008,4.44,4.44,4.44,4.44,13990,ok,78
202,06/11/2008,4.44,4.24,4.64,4.24,32750,ok,78
203,07/11/2008,4.33,4.24,4.41,4.24,17530,ok,78
204,10/11/2008,4.41,4.33,4.44,4.33,31150,ok,65
205,11/11/2008,4.36,4.41,4.41,4.27,15880,ok,65
206,12/11/2008,4.21,4.18,4.36,4.16,50750,ok,65
207,13/11/2008,4.36,4.33,4.38,4.3,64860,ok,65
208,14/11/2008,4.41,4.53,4.53,4.41,18700,ok,75
209,17/11/2008,4.41,4.33,4.41,4.33,53830,ok,75
210,18/11/2008,4.44,4.41,4.44,4.38,45650,ok,75
211,19/11/2008,4.47,4.5,4.5,4.44,44710,ok,65
212,20/11/2008,4.47,4.44,4.47,4.36,41700,ok,65
213,21/11/2008,4.44,4.44,4.47,4.44,109940,ok,65
214,24/11/2008,4.53,4.53,4.55,4.53,61240,ok,65
215,25/11/2008,4.64,4.53,4.64,4.53,82240,ok,65
216,26/11/2008,4.61,4.64,4.64,4.53,57190,ok,65
217,27/11/2008,4.55,4.58,4.64,4.55,21500,ok,61.5
218,28/11/2008,4.58,4.58,4.64,4.55,54050,ok,75
219,01/12/2008,4.64,4.61,4.64,4.58,41350,ok,55
220,02/12/2008,4.61,4.58,4.61,4.55,42760,ok,55
221,03/12/2008,4.61,4.61,4.64,4.61,21060,ok,55
222,04/12/2008,4.67,4.58,4.67,4.58,32940,ok,55
223,05/12/2008,4.58,4.64,4.64,4.58,30630,ok,55
224,08/12/2008,4.5,4.36,4.53,4.36,32960,ok,55
225,09/12/2008,4.64,4.41,4.64,4.41,40210,ok,54
226,10/12/2008,4.41,4.64,4.64,4.41,42320,ok,54
227,11/12/2008,4.47,4.41,4.53,4.21,48180,ok,54
228,12/12/2008,4.67,4.55,4.67,4.55,37270,ok,54
229,15/12/2008,4.75,4.81,4.81,4.69,29470,ok,54
230,16/12/2008,4.72,4.86,4.86,4.72,60630,ok,45
231,17/12/2008,4.75,4.72,4.75,4.64,35560,ok,45
232,18/12/2008,4.78,4.75,4.78,4.72,35110,ok,45
233,19/12/2008,4.55,4.69,4.78,4.55,15100,ok,68
234,22/12/2008,4.47,4.75,4.75,4.47,7260,ok,78
235,23/12/2008,4.33,4.36,4.36,4.33,9580,ok,78
236,24/12/2008,4.33,4.24,4.33,4.24,20680,ok,78
237,25/12/2008,4.33,4.36,4.38,4.33,3610,ok,78
238,26/12/2008,4.33,4.33,4.36,4.33,5550,ok,78
239,29/12/2008,4.36,4.33,4.41,4.33,4330,ok,30
240,30/12/2008,4.5,4.36,4.5,4.36,13790,ok,52
241,31/12/2008,4.5,4.47,4.5,4.47,9130,ok,50
242,02/01/2009,4.53,4.53,4.53,4.53,200,ok,65
243,05/01/2009,4.53,4.3,4.53,4.3,6550,ok,65
244,07/01/2009,4.47,4.36,4.47,4.36,2920,ok,74
245,08/01/2009,4.47,4.41,4.47,4.41,23750,ok,74
246,09/01/2009,4.44,4.36,4.47,4.36,1700,ok,74
247,12/01/2009,4.44,4.3,4.44,4.3,6160,ok,74
248,13/01/2009,4.41,4.36,4.41,4.36,6570,ok,74
249,14/01/2009,4.47,4.33,4.47,4.33,7250,ok,74
250,15/01/2009,4.44,4.36,4.47,4.36,3300,ok,74
251,16/01/2009,4.64,4.53,4.64,4.53,40370,ok,74
252,19/01/2009,4.64,4.64,4.75,4.64,4680,ok,32.5
253,20/01/2009,4.64,4.64,4.64,4.64,12780,ok,32.5
254,21/01/2009,4.61,4.64,4.64,4.58,2150,ok,32.5
255,22/01/2009,4.47,4.61,4.61,4.47,26920,ok,32.5
256,23/01/2009,4.53,4.53,4.53,4.47,5870,ok,32.5
257,02/02/2009,4.58,4.53,4.64,4.58,1100,ok,75
258,03/02/2009,4.41,4.38,4.53,4.38,71750,ok,75
259,04/02/2009,4.21,4.36,4.38,4.21,10540,ok,75
260,05/02/2009,4.02,4.18,4.18,4.02,25700,ok,75
261,06/02/2009,4.02,4.18,4.18,3.96,16510,ok,75
262,09/02/2009,4.07,3.96,4.18,3.96,9870,ok,75
263,10/02/2009,3.99,3.96,4.02,3.96,1760,ok,75
264,11/02/2009,3.79,3.9,3.9,3.79,24360,ok,75
265,12/02/2009,3.82,3.68,3.9,3.68,12640,ok,75
266,13/02/2009,3.76,3.79,3.82,3.76,360,ok,65
267,16/02/2009,3.68,3.68,3.68,3.65,1750,ok,60
268,17/02/2009,3.51,3.68,3.68,3.51,4350,ok,87
269,18/02/2009,3.34,3.34,3.37,3.34,1550,ok,87
270,19/02/2009,3.22,3.34,3.34,3.2,10250,ok,87
271,20/02/2009,3.08,3.08,3.08,3.08,1820,ok,87
272,23/02/2009,2.94,2.94,2.94,2.94,780,ok,75
273,24/02/2009,2.79,2.8,2.8,2.79,160,ok,75
274,25/02/2009,2.66,2.66,2.74,2.66,33330,ok,65
275,26/02/2009,2.53,2.53,2.53,2.53,2600,ok,65
276,27/02/2009,2.4,2.4,2.4,2.4,4640,ok,65
277,02/03/2009,2.32,2.29,2.32,2.29,12190,ok,30
278,03/03/2009,2.21,2.26,2.32,2.21,8130,ok,30
279,04/03/2009,2.14,2.31,2.31,2.14,165080,ok,30
280,05/03/2009,2.14,2.24,2.24,2.14,50430,ok,30
281,06/03/2009,2.05,2.23,2.23,2.05,85640,ok,50
282,09/03/2009,2.06,2.12,2.15,2.05,53770,ok,75
283,10/03/2009,2.17,2.06,2.17,2.04,21540,ok,63.5
284,11/03/2009,2.1,2.21,2.25,2.1,142160,ok,63.5
285,12/03/2009,2,2.07,2.08,2,109200,ok,50
286,13/03/2009,1.91,1.98,2.03,1.91,187880,ok,50
287,16/03/2009,2,1.91,2,1.91,358660,ok,35
288,17/03/2009,2.09,2.09,2.09,2.06,461550,ok,35
289,18/03/2009,2.19,2.19,2.19,2.18,680220,ok,35
290,19/03/2009,2.08,2.1,2.11,2.08,549010,ok,35
291,20/03/2009,1.98,1.98,1.98,1.98,102040,ok,35
292,23/03/2009,1.88,1.88,1.88,1.88,89960,ok,35
293,24/03/2009,1.97,1.97,1.97,1.87,1058250,ok,85
294,25/03/2009,2.07,1.95,2.07,1.95,271510,ok,85
295,26/03/2009,2.17,2.17,2.17,2.1,256100,ok,85
296,27/03/2009,2.28,2.28,2.28,2.23,694790,ok,85
297,30/03/2009,2.39,2.38,2.39,2.32,760630,ok,45
298,31/03/2009,2.27,2.38,2.39,2.27,364960,ok,45
299,01/04/2009,2.38,2.26,2.39,2.21,360900,ok,45
300,02/04/2009,2.35,2.38,2.4,2.35,359180,ok,45
301,03/04/2009,2.47,2.47,2.47,2.44,167730,ok,80
302,07/04/2009,2.58,2.58,2.58,2.49,313750,ok,80
303,08/04/2009,2.5,2.58,2.71,2.48,523200,ok,80
304,09/04/2009,2.39,2.5,2.54,2.38,350800,ok,80
305,10/04/2009,2.51,2.51,2.51,2.5,136280,ok,80
306,13/04/2009,2.63,2.63,2.63,2.63,86540,ok,65
307,14/04/2009,2.64,2.6,2.71,2.54,426080,ok,65
308,15/04/2009,2.51,2.51,2.6,2.51,226180,ok,65
309,16/04/2009,2.51,2.51,2.51,2.4,289920,ok,65
310,17/04/2009,2.38,2.44,2.49,2.38,191550,ok,65
311,20/04/2009,2.26,2.26,2.26,2.26,209900,ok,65
312,21/04/2009,2.15,2.15,2.15,2.15,278550,ok,65
313,22/04/2009,2.26,2.26,2.26,2.18,178640,ok,45
314,23/04/2009,2.23,2.18,2.26,2.17,188790,ok,45
315,24/04/2009,2.17,2.15,2.18,2.15,91920,ok,45
316,27/04/2009,2.26,2.26,2.27,2.23,121800,ok,45
317,28/04/2009,2.26,2.15,2.29,2.15,68600,ok,45
318,29/04/2009,2.26,2.26,2.26,2.21,80160,ok,45
319,04/05/2009,2.38,2.38,2.38,2.38,23560,ok,45
320,05/05/2009,2.49,2.49,2.49,2.49,120020,ok,45
321,06/05/2009,2.38,2.37,2.49,2.37,195210,ok,45
322,07/05/2009,2.43,2.47,2.48,2.43,93220,ok,45
323,08/05/2009,2.39,2.33,2.43,2.33,60740,ok,45
324,11/05/2009,2.49,2.48,2.51,2.43,181710,ok,45
325,12/05/2009,2.6,2.49,2.6,2.46,108000,ok,45
326,13/05/2009,2.48,2.49,2.6,2.48,120240,ok,45
327,14/05/2009,2.54,2.38,2.54,2.38,87050,ok,45
328,15/05/2009,2.63,2.6,2.63,2.54,120870,ok,45
329,18/05/2009,2.61,2.63,2.66,2.6,102160,ok,45
330,19/05/2009,2.74,2.74,2.74,2.73,176850,ok,45
331,20/05/2009,2.86,2.86,2.86,2.86,62030,ok,45
332,21/05/2009,3,3,3,3,38170,ok,45
333,22/05/2009,3.14,3.14,3.14,2.91,289500,ok,45
334,25/05/2009,3.28,3.28,3.28,3.28,55220,ok,45
335,26/05/2009,3.42,3.42,3.42,3.42,37440,ok,45
336,27/05/2009,3.59,3.59,3.59,3.59,26810,ok,45
337,28/05/2009,3.76,3.76,3.76,3.62,352890,ok,45
338,29/05/2009,3.79,3.93,3.93,3.65,157610,ok,45
339,01/06/2009,3.73,3.65,3.87,3.65,173360,ok,45
340,02/06/2009,3.87,3.9,3.9,3.87,110190,ok,45
341,03/06/2009,3.87,3.87,3.87,3.79,166410,ok,45
342,04/06/2009,4.04,3.93,4.04,3.93,107820,ok,45
343,05/06/2009,4.24,4.24,4.24,4.24,54890,ok,45
344,08/06/2009,4.44,4.44,4.44,4.44,32360,ok,45
345,09/06/2009,4.41,4.47,4.53,4.27,138430,ok,45
346,10/06/2009,4.21,4.21,4.21,4.21,108150,ok,45
347,11/06/2009,4.41,4.13,4.21,4.13,65310,ok,45
348,12/06/2009,4.36,4.61,4.61,4.21,45370,ok,45
349,15/06/2009,4.16,4.21,4.3,4.16,71420,ok,45
350,16/06/2009,3.96,3.96,3.96,3.96,81370,ok,70
351,17/06/2009,3.99,3.76,4.07,3.76,129400,ok,70
352,18/06/2009,4.04,3.99,4.07,3.9,158720,ok,70
353,19/06/2009,4.16,4.18,4.18,4.04,150290,ok,70
354,22/06/2009,4.36,4.36,4.36,4.18,203780,ok,75
355,23/06/2009,4.16,4.24,4.36,4.16,74390,ok,70
356,24/06/2009,4.36,4.36,4.36,4.3,120850,ok,70
357,25/06/2009,4.33,4.55,4.55,4.18,185410,ok,95
358,26/06/2009,4.41,4.38,4.5,4.33,161090,ok,95
359,29/06/2009,4.41,4.47,4.47,4.38,105480,ok,95
360,01/07/2009,4.02,4.02,4.13,4.02,51990,ok,95
361,02/07/2009,4.21,4.21,4.21,4.21,37850,ok,95
362,03/07/2009,4.42,4.42,4.42,4.35,210630,ok,95
363,06/07/2009,4.53,4.48,4.61,4.38,160760,ok,70
364,07/07/2009,4.3,4.31,4.44,4.3,103600,ok,70
365,08/07/2009,4.09,4.1,4.21,4.09,115670,ok,65
366,09/07/2009,4.08,4.09,4.23,4.08,34500,ok,65
367,10/07/2009,3.95,3.99,4.04,3.95,47010,ok,65
368,13/07/2009,3.75,3.82,3.85,3.75,41560,ok,65
369,14/07/2009,3.77,3.8,3.8,3.57,99540,ok,65
370,15/07/2009,3.82,3.81,3.86,3.77,19530,ok,65
371,16/07/2009,3.95,4,4,3.83,38430,ok,65
372,17/07/2009,4.04,3.93,4.08,3.92,61980,ok,65
373,20/07/2009,3.84,3.91,3.92,3.84,53450,ok,65
374,21/07/2009,3.86,3.93,3.93,3.84,34740,ok,65
375,22/07/2009,4.05,4.05,4.05,4.05,44420,ok,65
376,23/07/2009,4.25,4.25,4.25,4.2,100070,ok,65
377,24/07/2009,4.45,4.45,4.45,4.45,14140,ok,65
378,27/07/2009,4.67,4.67,4.67,4.67,44510,ok,95
379,28/07/2009,4.89,4.89,4.89,4.89,148200,ok,95
380,30/07/2009,4.76,4.76,4.76,4.76,103030,ok,95
381,31/07/2009,4.89,4.58,4.98,4.58,107360,ok,95
382,03/08/2009,4.85,4.76,5.03,4.76,29250,ok,45
383,05/08/2009,4.8,4.71,4.85,4.71,36860,ok,45
384,06/08/2009,4.94,4.94,5.03,4.94,173700,ok,45
385,07/08/2009,4.94,4.98,5.03,4.94,78630,ok,45
386,10/08/2009,4.98,4.98,5.03,4.94,50420,ok,90
387,11/08/2009,4.89,4.94,5.03,4.89,46830,ok,90
388,12/08/2009,4.94,4.85,4.94,4.85,50630,ok,90
389,13/08/2009,5.03,4.98,5.03,4.94,78900,ok,90
390,14/08/2009,5.03,5.07,5.07,4.94,27690,ok,90
391,17/08/2009,4.89,4.94,5.03,4.89,33260,ok,90
392,18/08/2009,4.98,4.89,4.98,4.85,30400,ok,90
393,19/08/2009,5.07,4.98,5.07,4.94,67050,ok,90
394,20/08/2009,5.03,5.07,5.12,5.03,55800,ok,90
395,21/08/2009,4.94,5.12,5.16,4.94,110920,ok,90
396,24/08/2009,5.16,5.07,5.16,5.03,207640,ok,90
397,25/08/2009,5.39,5.39,5.39,5.34,340430,ok,90
398,26/08/2009,5.48,5.57,5.66,5.48,328480,ok,90
399,27/08/2009,5.48,5.52,5.57,5.39,153420,ok,90
400,28/08/2009,5.61,5.57,5.61,5.43,194370,ok,90
401,31/08/2009,5.79,5.61,5.79,5.61,330060,ok,90
402,01/09/2009,5.66,5.84,5.84,5.66,155950,ok,90
403,03/09/2009,5.48,5.48,5.61,5.48,76170,ok,90
404,04/09/2009,5.3,5.48,5.57,5.3,100520,ok,90
405,07/09/2009,5.12,5.21,5.21,5.07,121200,ok,90
406,08/09/2009,5.34,5.25,5.34,5.25,154160,ok,90
407,09/09/2009,5.3,5.34,5.39,5.21,65900,ok,90
408,10/09/2009,5.34,5.25,5.34,5.21,43660,ok,90
409,11/09/2009,5.34,5.43,5.48,5.34,83980,ok,90
410,14/09/2009,5.39,5.52,5.52,5.3,175390,ok,90
411,15/09/2009,5.21,5.39,5.39,5.21,111670,ok,90
412,16/09/2009,5.16,6.29,5.3,5.16,78400,ok,90
413,17/09/2009,5.25,5.16,5.3,5.12,123390,ok,95
414,18/09/2009,5.3,5.25,5.3,5.21,111910,ok,95
415,21/09/2009,5.52,5.39,5.52,5.3,96900,ok,95
416,22/09/2009,5.79,5.79,5.79,5.79,90190,ok,95
417,23/09/2009,6.06,6.06,6.06,6.06,213410,ok,70
418,24/09/2009,5.88,5.88,6.06,5.79,336700,ok,70
419,25/09/2009,6.02,5.75,6.02,5.75,169710,ok,70
420,28/09/2009,5.93,6.02,6.02,5.84,119100,ok,70
421,29/09/2009,5.88,5.93,5.93,5.75,131210,ok,70
422,30/09/2009,5.75,5.88,5.88,5.75,121720,ok,90
