,t,c,o,h,l,v,s,Date,sentiment_score
0,1199232000,6.13,6.09,6.13,6.05,156160,ok,2008-01-02,50.0
1,1199318400,6.01,6.05,6.09,6.01,111990,ok,2008-01-03,50.0
2,1199404800,5.93,5.97,5.97,5.93,66670,ok,2008-01-04,50.0
3,1199664000,5.85,5.89,5.93,5.78,117490,ok,2008-01-07,50.0
4,1199750400,5.89,5.85,6.01,5.85,109010,ok,2008-01-08,50.0
5,1199836800,5.82,5.89,5.93,5.82,56360,ok,2008-01-09,50.0
6,1199923200,5.58,5.62,5.7,5.58,291740,ok,2008-01-10,50.0
7,1200009600,5.66,5.62,5.7,5.62,78900,ok,2008-01-11,50.0
8,1200268800,5.66,5.85,5.85,5.66,215790,ok,2008-01-14,50.0
9,1200355200,5.42,5.46,5.5,5.38,199290,ok,2008-01-15,50.0
10,1200441600,5.66,5.58,5.66,5.58,171870,ok,2008-01-16,50.0
11,1200528000,5.66,5.89,5.93,5.5,248700,ok,2008-01-17,50.0
12,1200614400,5.74,5.66,5.78,5.58,187430,ok,2008-01-18,50.0
13,1200873600,5.58,5.66,5.66,5.58,189070,ok,2008-01-21,50.0
14,1200960000,5.46,5.43,5.54,5.43,165780,ok,2008-01-22,50.0
15,1201046400,5.23,5.37,5.4,5.23,227280,ok,2008-01-23,50.0
16,1201219200,5.32,5.23,5.32,5.23,84860,ok,2008-01-25,50.0
17,1201478400,5.32,5.32,5.32,5.26,106560,ok,2008-01-28,50.0
18,1201564800,5.4,5.26,5.4,5.26,188520,ok,2008-01-29,50.0
19,1201651200,5.66,5.66,5.66,5.66,67320,ok,2008-01-30,50.0
20,1201737600,5.83,5.54,5.83,5.49,181330,ok,2008-01-31,50.0
21,1201824000,6.11,5.88,6.11,5.83,158800,ok,2008-02-01,50.0
22,1202774400,5.94,6.0,6.0,5.88,109200,ok,2008-02-12,50.0
23,1202860800,5.88,5.83,5.94,5.77,133470,ok,2008-02-13,50.0
24,1202947200,5.94,5.88,6.05,5.88,64140,ok,2008-02-14,50.0
25,1203033600,5.88,5.88,5.94,5.88,98660,ok,2008-02-15,50.0
26,1203292800,5.71,5.71,5.71,5.63,106770,ok,2008-02-18,50.0
27,1203379200,5.71,5.54,5.77,5.54,84920,ok,2008-02-19,50.0
28,1203465600,5.66,5.71,5.77,5.63,186550,ok,2008-02-20,50.0
29,1203552000,5.37,5.37,5.37,5.37,307420,ok,2008-02-21,50.0
30,1203638400,5.2,5.2,5.2,5.12,90510,ok,2008-02-22,50.0
31,1203897600,5.46,5.46,5.46,5.46,55810,ok,2008-02-25,50.0
32,1203984000,5.43,5.43,5.54,5.34,144900,ok,2008-02-26,50.0
33,1204070400,5.43,5.32,5.6,5.32,63040,ok,2008-02-27,50.0
34,1204156800,5.51,5.49,5.51,5.43,68010,ok,2008-02-28,50.0
35,1204243200,5.43,5.43,5.49,5.43,137890,ok,2008-02-29,50.0
36,1204502400,5.17,5.37,5.37,5.17,120440,ok,2008-03-03,50.0
37,1204588800,4.92,4.92,5.17,4.92,208800,ok,2008-03-04,50.0
38,1204675200,4.81,4.69,4.92,4.69,270640,ok,2008-03-05,50.0
39,1204761600,5.03,5.03,5.03,5.03,11150,ok,2008-03-06,50.0
40,1204848000,5.26,5.26,5.26,5.26,113590,ok,2008-03-07,50.0
41,1205107200,5.43,5.51,5.51,5.32,326010,ok,2008-03-10,50.0
42,1205193600,5.29,5.26,5.32,5.23,100450,ok,2008-03-11,50.0
43,1205280000,5.29,5.2,5.49,5.2,39920,ok,2008-03-12,50.0
44,1205366400,5.32,5.49,5.49,5.26,46390,ok,2008-03-13,50.0
45,1205452800,5.34,5.26,5.34,5.26,82740,ok,2008-03-14,50.0
46,1205712000,5.23,5.2,5.32,5.2,128040,ok,2008-03-17,50.0
47,1205798400,5.01,4.98,5.15,4.98,134940,ok,2008-03-18,50.0
48,1205884800,5.01,5.01,5.15,4.98,45390,ok,2008-03-19,50.0
49,1205971200,5.03,5.09,5.09,5.01,87310,ok,2008-03-20,50.0
50,1206057600,4.98,5.03,5.03,4.92,52050,ok,2008-03-21,50.0
51,1206316800,4.75,4.78,4.78,4.75,154630,ok,2008-03-24,50.0
52,1206403200,4.53,4.53,4.55,4.53,178050,ok,2008-03-25,50.0
53,1206489600,4.75,4.75,4.75,4.75,47960,ok,2008-03-26,50.0
54,1206576000,4.78,4.78,4.78,4.78,51090,ok,2008-03-27,50.0
55,1206662400,4.81,4.81,4.81,4.81,2070,ok,2008-03-28,50.0
56,1206921600,4.84,4.84,4.84,4.84,3020,ok,2008-03-31,50.0
57,1207008000,4.86,4.86,4.86,4.86,530,ok,2008-04-01,50.0
58,1207094400,4.89,4.89,4.89,4.89,2360,ok,2008-04-02,50.0
59,1207180800,4.92,4.92,4.92,4.92,33500,ok,2008-04-03,50.0
60,1207267200,4.95,4.95,4.95,4.95,52460,ok,2008-04-04,50.0
61,1207526400,5.03,5.03,5.03,5.03,2670,ok,2008-04-07,50.0
62,1207612800,5.12,5.12,5.12,5.12,193450,ok,2008-04-08,50.0
63,1207699200,5.2,5.2,5.2,5.2,22410,ok,2008-04-09,50.0
64,1207785600,5.29,5.29,5.29,5.12,262980,ok,2008-04-10,50.0
65,1207872000,5.23,5.2,5.23,5.2,164600,ok,2008-04-11,50.0
66,1208304000,5.15,5.15,5.17,5.15,136390,ok,2008-04-16,50.0
67,1208390400,5.23,5.06,5.23,5.06,154750,ok,2008-04-17,50.0
68,1208476800,5.15,5.32,5.32,5.15,117310,ok,2008-04-18,50.0
69,1208736000,5.2,5.15,5.2,5.09,82260,ok,2008-04-21,50.0
70,1208822400,5.2,5.12,5.2,5.12,20670,ok,2008-04-22,50.0
71,1208908800,5.12,5.12,5.12,5.12,68250,ok,2008-04-23,50.0
72,1208995200,5.03,5.03,5.06,5.03,97210,ok,2008-04-24,50.0
73,1209081600,5.12,4.98,5.12,4.98,31170,ok,2008-04-25,50.0
74,1209340800,5.2,5.17,5.2,5.17,67610,ok,2008-04-28,50.0
75,1209427200,5.29,5.29,5.29,5.2,142440,ok,2008-04-29,50.0
76,1209945600,5.2,5.29,5.32,5.2,32320,ok,2008-05-05,50.0
77,1210032000,5.12,5.12,5.12,5.12,4640,ok,2008-05-06,50.0
78,1210118400,5.2,5.03,5.2,5.03,92580,ok,2008-05-07,50.0
79,1210204800,5.2,5.12,5.2,5.12,87260,ok,2008-05-08,50.0
80,1210291200,5.12,5.12,5.12,5.12,1320,ok,2008-05-09,50.0
81,1210550400,5.03,5.03,5.03,5.03,660,ok,2008-05-12,50.0
82,1210636800,4.95,4.95,4.95,4.95,60,ok,2008-05-13,50.0
83,1210723200,4.86,4.86,4.86,4.86,230,ok,2008-05-14,50.0
84,1210809600,4.78,4.81,4.81,4.78,4420,ok,2008-05-15,50.0
85,1210896000,4.69,4.69,4.69,4.69,28510,ok,2008-05-16,50.0
86,1211155200,4.61,4.61,4.61,4.61,84520,ok,2008-05-19,50.0
87,1211241600,4.53,4.53,4.53,4.53,4270,ok,2008-05-20,50.0
88,1211328000,4.44,4.44,4.44,4.44,470,ok,2008-05-21,50.0
89,1211414400,4.36,4.36,4.36,4.36,90660,ok,2008-05-22,50.0
90,1211500800,4.27,4.27,4.36,4.27,774950,ok,2008-05-23,50.0
91,1211760000,4.18,4.18,4.18,4.18,432440,ok,2008-05-26,50.0
92,1212105600,4.13,4.13,4.13,4.13,533870,ok,2008-05-30,50.0
93,1212364800,4.07,4.07,4.07,4.07,309100,ok,2008-06-02,50.0
94,1212451200,4.02,4.02,4.02,4.02,139990,ok,2008-06-03,50.0
95,1212537600,4.07,3.96,4.07,3.96,217760,ok,2008-06-04,50.0
96,1212624000,4.13,4.04,4.13,4.02,143800,ok,2008-06-05,50.0
97,1212710400,4.18,4.18,4.18,4.18,59450,ok,2008-06-06,50.0
98,1212969600,4.24,4.24,4.24,4.24,54800,ok,2008-06-09,50.0
99,1213056000,4.16,4.16,4.18,4.16,35250,ok,2008-06-10,50.0
100,1213142400,4.21,4.1,4.21,4.1,95560,ok,2008-06-11,50.0
101,1213228800,4.27,4.27,4.27,4.27,34780,ok,2008-06-12,50.0
102,1213315200,4.36,4.36,4.36,4.36,57400,ok,2008-06-13,50.0
103,1213574400,4.44,4.44,4.44,4.44,5360,ok,2008-06-16,50.0
104,1213660800,4.53,4.53,4.53,4.53,10520,ok,2008-06-17,50.0
105,1213747200,4.53,4.61,4.61,4.44,319590,ok,2008-06-18,50.0
106,1213833600,4.41,4.41,4.41,4.41,119040,ok,2008-06-19,50.0
107,1213920000,4.53,4.3,4.53,4.3,272120,ok,2008-06-20,50.0
108,1214179200,4.64,4.64,4.64,4.61,50530,ok,2008-06-23,50.0
109,1214265600,4.75,4.75,4.75,4.75,36030,ok,2008-06-24,50.0
110,1214352000,4.89,4.89,4.89,4.89,18180,ok,2008-06-25,50.0
111,1214438400,5.01,5.03,5.03,4.86,116050,ok,2008-06-26,50.0
112,1214524800,5.15,4.92,5.15,4.89,102260,ok,2008-06-27,50.0
113,1214784000,5.29,5.15,5.29,5.15,63360,ok,2008-06-30,50.0
114,1214870400,5.43,5.43,5.43,5.43,35400,ok,2008-07-01,50.0
115,1214956800,5.57,5.57,5.57,5.37,121980,ok,2008-07-02,50.0
116,1215043200,5.71,5.71,5.71,5.71,30380,ok,2008-07-03,50.0
117,1215129600,5.66,5.88,5.88,5.66,173070,ok,2008-07-04,50.0
118,1215388800,5.66,5.66,5.66,5.49,278490,ok,2008-07-07,50.0
119,1215475200,5.66,5.51,5.66,5.49,234670,ok,2008-07-08,50.0
120,1215561600,5.71,5.66,5.71,5.66,79660,ok,2008-07-09,50.0
121,1215648000,5.77,5.66,5.77,5.6,133480,ok,2008-07-10,50.0
122,1215734400,5.77,5.66,5.83,5.66,84100,ok,2008-07-11,50.0
123,1215993600,5.94,5.83,5.94,5.77,103080,ok,2008-07-14,50.0
124,1216080000,6.11,6.11,6.11,6.11,63290,ok,2008-07-15,50.0
125,1216166400,6.11,6.22,6.22,5.94,100670,ok,2008-07-16,50.0
126,1216252800,6.11,6.17,6.17,6.0,102320,ok,2008-07-17,50.0
127,1216339200,6.11,5.94,6.11,5.94,131500,ok,2008-07-18,50.0
128,1216598400,5.94,5.94,5.94,5.94,140410,ok,2008-07-21,50.0
129,1216684800,5.77,5.77,5.77,5.77,113700,ok,2008-07-22,50.0
130,1216857600,5.6,5.46,5.71,5.46,100040,ok,2008-07-24,50.0
131,1216944000,5.71,5.49,5.71,5.49,29120,ok,2008-07-25,50.0
132,1217203200,5.88,5.71,5.88,5.71,28360,ok,2008-07-28,50.0
133,1217289600,6.05,6.05,6.05,5.94,37950,ok,2008-07-29,50.0
134,1217376000,6.05,6.05,6.05,5.88,47730,ok,2008-07-30,50.0
135,1217462400,6.0,5.88,6.0,5.88,35120,ok,2008-07-31,50.0
136,1217548800,6.0,5.83,6.0,5.83,51080,ok,2008-08-01,50.0
137,1217808000,6.0,5.88,6.0,5.83,42780,ok,2008-08-04,50.0
138,1217894400,5.94,5.83,5.94,5.83,50090,ok,2008-08-05,50.0
139,1217980800,6.11,6.11,6.11,6.0,30790,ok,2008-08-06,50.0
140,1218067200,6.05,6.17,6.17,6.05,66220,ok,2008-08-07,50.0
141,1218153600,6.05,6.05,6.05,6.0,57300,ok,2008-08-08,50.0
142,1218412800,6.05,6.17,6.17,6.05,38800,ok,2008-08-11,50.0
143,1218499200,6.0,5.94,6.05,5.94,34260,ok,2008-08-12,50.0
144,1218585600,6.05,5.83,6.05,5.83,41550,ok,2008-08-13,50.0
145,1218672000,6.22,6.05,6.22,6.05,176550,ok,2008-08-14,50.0
146,1218758400,6.39,6.39,6.39,6.39,283800,ok,2008-08-15,50.0
147,1219017600,6.67,6.67,6.67,6.62,385970,ok,2008-08-18,50.0
148,1219104000,6.73,6.9,6.9,6.56,66730,ok,2008-08-19,50.0
149,1219190400,6.45,6.45,6.56,6.45,91250,ok,2008-08-20,50.0
150,1219276800,6.56,6.45,6.56,6.28,36350,ok,2008-08-21,50.0
151,1219363200,6.33,6.56,6.56,6.33,134110,ok,2008-08-22,50.0
152,1219622400,6.45,6.39,6.5,6.33,102310,ok,2008-08-25,50.0
153,1219708800,6.45,6.5,6.5,6.28,135090,ok,2008-08-26,50.0
154,1219795200,6.5,6.22,6.56,6.22,124110,ok,2008-08-27,50.0
155,1219881600,6.33,6.22,6.45,6.22,107590,ok,2008-08-28,50.0
156,1219968000,6.05,6.05,6.17,6.05,137120,ok,2008-08-29,50.0
157,1220486400,5.88,6.0,6.05,5.88,113460,ok,2008-09-04,50.0
158,1220572800,5.77,5.66,5.88,5.66,87480,ok,2008-09-05,50.0
159,1220832000,5.83,5.49,5.83,5.49,104190,ok,2008-09-08,50.0
160,1220918400,5.71,5.77,5.77,5.66,88690,ok,2008-09-09,50.0
161,1221004800,5.43,5.71,5.71,5.43,98910,ok,2008-09-10,50.0
162,1221091200,5.37,5.4,5.4,5.26,81150,ok,2008-09-11,50.0
163,1221177600,5.12,5.12,5.32,5.12,110250,ok,2008-09-12,50.0
164,1221436800,5.15,4.86,5.2,4.86,106760,ok,2008-09-15,50.0
165,1221523200,4.89,5.15,5.15,4.89,68270,ok,2008-09-16,50.0
166,1221609600,4.67,4.67,4.75,4.67,134340,ok,2008-09-17,50.0
167,1221696000,4.44,4.44,4.44,4.44,8770,ok,2008-09-18,50.0
168,1221782400,4.64,4.44,4.64,4.44,55080,ok,2008-09-19,50.0
169,1222041600,4.86,4.86,4.86,4.86,1980,ok,2008-09-22,50.0
170,1222128000,5.09,5.09,5.09,4.92,82530,ok,2008-09-23,50.0
171,1222214400,4.92,4.86,5.2,4.86,121100,ok,2008-09-24,50.0
172,1222300800,5.15,4.92,5.15,4.92,138590,ok,2008-09-25,50.0
173,1222387200,5.4,5.4,5.4,5.29,141480,ok,2008-09-26,50.0
174,1222646400,5.63,5.66,5.66,5.43,98040,ok,2008-09-29,50.0
175,1222732800,5.37,5.37,5.37,5.37,65820,ok,2008-09-30,50.0
176,1222819200,5.49,5.37,5.54,5.34,93830,ok,2008-10-01,50.0
177,1222905600,5.6,5.66,5.66,5.54,83330,ok,2008-10-02,50.0
178,1222992000,5.37,5.49,5.6,5.37,61480,ok,2008-10-03,50.0
179,1223251200,5.12,5.15,5.29,5.12,80380,ok,2008-10-06,50.0
180,1223337600,4.86,4.86,4.86,4.86,55180,ok,2008-10-07,50.0
181,1223424000,4.75,4.64,4.98,4.64,66600,ok,2008-10-08,50.0
182,1223510400,4.75,4.53,4.92,4.53,91600,ok,2008-10-09,50.0
183,1223596800,4.55,4.55,4.61,4.55,96580,ok,2008-10-10,50.0
184,1223856000,4.64,4.75,4.75,4.55,112380,ok,2008-10-13,50.0
185,1223942400,4.86,4.86,4.86,4.86,46760,ok,2008-10-14,50.0
186,1224028800,4.98,5.03,5.03,4.86,85490,ok,2008-10-15,50.0
187,1224115200,4.78,4.75,4.92,4.75,93070,ok,2008-10-16,50.0
188,1224201600,4.61,4.67,4.81,4.61,72950,ok,2008-10-17,50.0
189,1224460800,4.5,4.5,4.61,4.5,56770,ok,2008-10-20,50.0
190,1224547200,4.64,4.64,4.64,4.58,82250,ok,2008-10-21,50.0
191,1224633600,4.67,4.47,4.67,4.47,75770,ok,2008-10-22,50.0
192,1224720000,4.64,4.67,4.67,4.47,43120,ok,2008-10-23,50.0
193,1224806400,4.44,4.44,4.5,4.44,83440,ok,2008-10-24,50.0
194,1225065600,4.24,4.24,4.3,4.24,252280,ok,2008-10-27,50.0
195,1225152000,4.04,4.04,4.04,4.04,32190,ok,2008-10-28,50.0
196,1225238400,4.04,4.24,4.24,4.04,45410,ok,2008-10-29,50.0
197,1225324800,3.87,3.85,3.9,3.85,113730,ok,2008-10-30,50.0
198,1225411200,4.04,4.04,4.04,4.04,19370,ok,2008-10-31,50.0
199,1225670400,4.04,4.04,4.07,4.04,76340,ok,2008-11-03,50.0
200,1225756800,4.24,4.04,4.24,4.02,13750,ok,2008-11-04,50.0
201,1225843200,4.44,4.44,4.44,4.44,13990,ok,2008-11-05,50.0
202,1225929600,4.44,4.24,4.64,4.24,32750,ok,2008-11-06,50.0
203,1226016000,4.33,4.24,4.41,4.24,17530,ok,2008-11-07,50.0
204,1226275200,4.41,4.33,4.44,4.33,31150,ok,2008-11-10,50.0
205,1226361600,4.36,4.41,4.41,4.27,15880,ok,2008-11-11,50.0
206,1226448000,4.21,4.18,4.36,4.16,50750,ok,2008-11-12,50.0
207,1226534400,4.36,4.33,4.38,4.3,64860,ok,2008-11-13,50.0
208,1226620800,4.41,4.53,4.53,4.41,18700,ok,2008-11-14,50.0
209,1226880000,4.41,4.33,4.41,4.33,53830,ok,2008-11-17,50.0
210,1226966400,4.44,4.41,4.44,4.38,45650,ok,2008-11-18,50.0
211,1227052800,4.47,4.5,4.5,4.44,44710,ok,2008-11-19,50.0
212,1227139200,4.47,4.44,4.47,4.36,41700,ok,2008-11-20,50.0
213,1227225600,4.44,4.44,4.47,4.44,109940,ok,2008-11-21,50.0
214,1227484800,4.53,4.53,4.55,4.53,61240,ok,2008-11-24,50.0
215,1227571200,4.64,4.53,4.64,4.53,82240,ok,2008-11-25,50.0
216,1227657600,4.61,4.64,4.64,4.53,57190,ok,2008-11-26,50.0
217,1227744000,4.55,4.58,4.64,4.55,21500,ok,2008-11-27,50.0
218,1227830400,4.58,4.58,4.64,4.55,54050,ok,2008-11-28,50.0
219,1228089600,4.64,4.61,4.64,4.58,41350,ok,2008-12-01,50.0
220,1228176000,4.61,4.58,4.61,4.55,42760,ok,2008-12-02,50.0
221,1228262400,4.61,4.61,4.64,4.61,21060,ok,2008-12-03,50.0
222,1228348800,4.67,4.58,4.67,4.58,32940,ok,2008-12-04,50.0
223,1228435200,4.58,4.64,4.64,4.58,30630,ok,2008-12-05,50.0
224,1228694400,4.5,4.36,4.53,4.36,32960,ok,2008-12-08,50.0
225,1228780800,4.64,4.41,4.64,4.41,40210,ok,2008-12-09,50.0
226,1228867200,4.41,4.64,4.64,4.41,42320,ok,2008-12-10,50.0
227,1228953600,4.47,4.41,4.53,4.21,48180,ok,2008-12-11,50.0
228,1229040000,4.67,4.55,4.67,4.55,37270,ok,2008-12-12,50.0
229,1229299200,4.75,4.81,4.81,4.69,29470,ok,2008-12-15,50.0
230,1229385600,4.72,4.86,4.86,4.72,60630,ok,2008-12-16,50.0
231,1229472000,4.75,4.72,4.75,4.64,35560,ok,2008-12-17,50.0
232,1229558400,4.78,4.75,4.78,4.72,35110,ok,2008-12-18,50.0
233,1229644800,4.55,4.69,4.78,4.55,15100,ok,2008-12-19,50.0
234,1229904000,4.47,4.75,4.75,4.47,7260,ok,2008-12-22,50.0
235,1229990400,4.33,4.36,4.36,4.33,9580,ok,2008-12-23,50.0
236,1230076800,4.33,4.24,4.33,4.24,20680,ok,2008-12-24,50.0
237,1230163200,4.33,4.36,4.38,4.33,3610,ok,2008-12-25,50.0
238,1230249600,4.33,4.33,4.36,4.33,5550,ok,2008-12-26,50.0
239,1230508800,4.36,4.33,4.41,4.33,4330,ok,2008-12-29,50.0
240,1230595200,4.5,4.36,4.5,4.36,13790,ok,2008-12-30,50.0
241,1230681600,4.5,4.47,4.5,4.47,9130,ok,2008-12-31,50.0
242,1230854400,4.53,4.53,4.53,4.53,200,ok,2009-01-02,50.0
243,1231113600,4.53,4.3,4.53,4.3,6550,ok,2009-01-05,50.0
244,1231286400,4.47,4.36,4.47,4.36,2920,ok,2009-01-07,50.0
245,1231372800,4.47,4.41,4.47,4.41,23750,ok,2009-01-08,50.0
246,1231459200,4.44,4.36,4.47,4.36,1700,ok,2009-01-09,50.0
247,1231718400,4.44,4.3,4.44,4.3,6160,ok,2009-01-12,50.0
248,1231804800,4.41,4.36,4.41,4.36,6570,ok,2009-01-13,50.0
249,1231891200,4.47,4.33,4.47,4.33,7250,ok,2009-01-14,50.0
250,1231977600,4.44,4.36,4.47,4.36,3300,ok,2009-01-15,50.0
251,1232064000,4.64,4.53,4.64,4.53,40370,ok,2009-01-16,50.0
252,1232323200,4.64,4.64,4.75,4.64,4680,ok,2009-01-19,50.0
253,1232409600,4.64,4.64,4.64,4.64,12780,ok,2009-01-20,50.0
254,1232496000,4.61,4.64,4.64,4.58,2150,ok,2009-01-21,50.0
255,1232582400,4.47,4.61,4.61,4.47,26920,ok,2009-01-22,50.0
256,1232668800,4.53,4.53,4.53,4.47,5870,ok,2009-01-23,50.0
257,1233532800,4.58,4.53,4.64,4.58,1100,ok,2009-02-02,50.0
258,1233619200,4.41,4.38,4.53,4.38,71750,ok,2009-02-03,50.0
259,1233705600,4.21,4.36,4.38,4.21,10540,ok,2009-02-04,50.0
260,1233792000,4.02,4.18,4.18,4.02,25700,ok,2009-02-05,50.0
261,1233878400,4.02,4.18,4.18,3.96,16510,ok,2009-02-06,50.0
262,1234137600,4.07,3.96,4.18,3.96,9870,ok,2009-02-09,50.0
263,1234224000,3.99,3.96,4.02,3.96,1760,ok,2009-02-10,50.0
264,1234310400,3.79,3.9,3.9,3.79,24360,ok,2009-02-11,50.0
265,1234396800,3.82,3.68,3.9,3.68,12640,ok,2009-02-12,50.0
266,1234483200,3.76,3.79,3.82,3.76,360,ok,2009-02-13,50.0
267,1234742400,3.68,3.68,3.68,3.65,1750,ok,2009-02-16,50.0
268,1234828800,3.51,3.68,3.68,3.51,4350,ok,2009-02-17,50.0
269,1234915200,3.34,3.34,3.37,3.34,1550,ok,2009-02-18,50.0
270,1235001600,3.22,3.34,3.34,3.2,10250,ok,2009-02-19,50.0
271,1235088000,3.08,3.08,3.08,3.08,1820,ok,2009-02-20,50.0
272,1235347200,2.94,2.94,2.94,2.94,780,ok,2009-02-23,50.0
273,1235433600,2.79,2.8,2.8,2.79,160,ok,2009-02-24,50.0
274,1235520000,2.66,2.66,2.74,2.66,33330,ok,2009-02-25,50.0
275,1235606400,2.53,2.53,2.53,2.53,2600,ok,2009-02-26,50.0
276,1235692800,2.4,2.4,2.4,2.4,4640,ok,2009-02-27,50.0
277,1235952000,2.32,2.29,2.32,2.29,12190,ok,2009-03-02,50.0
278,1236038400,2.21,2.26,2.32,2.21,8130,ok,2009-03-03,50.0
279,1236124800,2.14,2.31,2.31,2.14,165080,ok,2009-03-04,50.0
280,1236211200,2.14,2.24,2.24,2.14,50430,ok,2009-03-05,50.0
281,1236297600,2.05,2.23,2.23,2.05,85640,ok,2009-03-06,50.0
282,1236556800,2.06,2.12,2.15,2.05,53770,ok,2009-03-09,50.0
283,1236643200,2.17,2.06,2.17,2.04,21540,ok,2009-03-10,50.0
284,1236729600,2.1,2.21,2.25,2.1,142160,ok,2009-03-11,50.0
285,1236816000,2.0,2.07,2.08,2.0,109200,ok,2009-03-12,50.0
286,1236902400,1.91,1.98,2.03,1.91,187880,ok,2009-03-13,50.0
287,1237161600,2.0,1.91,2.0,1.91,358660,ok,2009-03-16,50.0
288,1237248000,2.09,2.09,2.09,2.06,461550,ok,2009-03-17,50.0
289,1237334400,2.19,2.19,2.19,2.18,680220,ok,2009-03-18,50.0
290,1237420800,2.08,2.1,2.11,2.08,549010,ok,2009-03-19,50.0
291,1237507200,1.98,1.98,1.98,1.98,102040,ok,2009-03-20,50.0
292,1237766400,1.88,1.88,1.88,1.88,89960,ok,2009-03-23,50.0
293,1237852800,1.97,1.97,1.97,1.87,1058250,ok,2009-03-24,50.0
294,1237939200,2.07,1.95,2.07,1.95,271510,ok,2009-03-25,50.0
295,1238025600,2.17,2.17,2.17,2.1,256100,ok,2009-03-26,50.0
296,1238112000,2.28,2.28,2.28,2.23,694790,ok,2009-03-27,50.0
297,1238371200,2.39,2.38,2.39,2.32,760630,ok,2009-03-30,50.0
298,1238457600,2.27,2.38,2.39,2.27,364960,ok,2009-03-31,50.0
299,1238544000,2.38,2.26,2.39,2.21,360900,ok,2009-04-01,50.0
300,1238630400,2.35,2.38,2.4,2.35,359180,ok,2009-04-02,50.0
301,1238716800,2.47,2.47,2.47,2.44,167730,ok,2009-04-03,50.0
302,1239062400,2.58,2.58,2.58,2.49,313750,ok,2009-04-07,50.0
303,1239148800,2.5,2.58,2.71,2.48,523200,ok,2009-04-08,50.0
304,1239235200,2.39,2.5,2.54,2.38,350800,ok,2009-04-09,50.0
305,1239321600,2.51,2.51,2.51,2.5,136280,ok,2009-04-10,50.0
306,1239580800,2.63,2.63,2.63,2.63,86540,ok,2009-04-13,50.0
307,1239667200,2.64,2.6,2.71,2.54,426080,ok,2009-04-14,50.0
308,1239753600,2.51,2.51,2.6,2.51,226180,ok,2009-04-15,50.0
309,1239840000,2.51,2.51,2.51,2.4,289920,ok,2009-04-16,50.0
310,1239926400,2.38,2.44,2.49,2.38,191550,ok,2009-04-17,50.0
311,1240185600,2.26,2.26,2.26,2.26,209900,ok,2009-04-20,50.0
312,1240272000,2.15,2.15,2.15,2.15,278550,ok,2009-04-21,50.0
313,1240358400,2.26,2.26,2.26,2.18,178640,ok,2009-04-22,50.0
314,1240444800,2.23,2.18,2.26,2.17,188790,ok,2009-04-23,50.0
315,1240531200,2.17,2.15,2.18,2.15,91920,ok,2009-04-24,50.0
316,1240790400,2.26,2.26,2.27,2.23,121800,ok,2009-04-27,50.0
317,1240876800,2.26,2.15,2.29,2.15,68600,ok,2009-04-28,50.0
318,1240963200,2.26,2.26,2.26,2.21,80160,ok,2009-04-29,50.0
319,1241395200,2.38,2.38,2.38,2.38,23560,ok,2009-05-04,50.0
320,1241481600,2.49,2.49,2.49,2.49,120020,ok,2009-05-05,50.0
321,1241568000,2.38,2.37,2.49,2.37,195210,ok,2009-05-06,50.0
322,1241654400,2.43,2.47,2.48,2.43,93220,ok,2009-05-07,50.0
323,1241740800,2.39,2.33,2.43,2.33,60740,ok,2009-05-08,50.0
324,1242000000,2.49,2.48,2.51,2.43,181710,ok,2009-05-11,50.0
325,1242086400,2.6,2.49,2.6,2.46,108000,ok,2009-05-12,50.0
326,1242172800,2.48,2.49,2.6,2.48,120240,ok,2009-05-13,50.0
327,1242259200,2.54,2.38,2.54,2.38,87050,ok,2009-05-14,50.0
328,1242345600,2.63,2.6,2.63,2.54,120870,ok,2009-05-15,50.0
329,1242604800,2.61,2.63,2.66,2.6,102160,ok,2009-05-18,50.0
330,1242691200,2.74,2.74,2.74,2.73,176850,ok,2009-05-19,50.0
331,1242777600,2.86,2.86,2.86,2.86,62030,ok,2009-05-20,50.0
332,1242864000,3.0,3.0,3.0,3.0,38170,ok,2009-05-21,50.0
333,1242950400,3.14,3.14,3.14,2.91,289500,ok,2009-05-22,50.0
334,1243209600,3.28,3.28,3.28,3.28,55220,ok,2009-05-25,50.0
335,1243296000,3.42,3.42,3.42,3.42,37440,ok,2009-05-26,50.0
336,1243382400,3.59,3.59,3.59,3.59,26810,ok,2009-05-27,50.0
337,1243468800,3.76,3.76,3.76,3.62,352890,ok,2009-05-28,50.0
338,1243555200,3.79,3.93,3.93,3.65,157610,ok,2009-05-29,50.0
339,1243814400,3.73,3.65,3.87,3.65,173360,ok,2009-06-01,50.0
340,1243900800,3.87,3.9,3.9,3.87,110190,ok,2009-06-02,50.0
341,1243987200,3.87,3.87,3.87,3.79,166410,ok,2009-06-03,50.0
342,1244073600,4.04,3.93,4.04,3.93,107820,ok,2009-06-04,50.0
343,1244160000,4.24,4.24,4.24,4.24,54890,ok,2009-06-05,50.0
344,1244419200,4.44,4.44,4.44,4.44,32360,ok,2009-06-08,50.0
345,1244505600,4.41,4.47,4.53,4.27,138430,ok,2009-06-09,50.0
346,1244592000,4.21,4.21,4.21,4.21,108150,ok,2009-06-10,50.0
347,1244678400,4.41,4.13,4.21,4.13,65310,ok,2009-06-11,50.0
348,1244764800,4.36,4.61,4.61,4.21,45370,ok,2009-06-12,50.0
