,t,c,o,h,l,v,s
65,1199232000,6.13,6.09,6.13,6.05,156160,ok
66,1199318400,6.01,6.05,6.09,6.01,111990,ok
67,1199404800,5.93,5.97,5.97,5.93,66670,ok
68,1199664000,5.85,5.89,5.93,5.78,117490,ok
69,1199750400,5.89,5.85,6.01,5.85,109010,ok
70,1199836800,5.82,5.89,5.93,5.82,56360,ok
71,1199923200,5.58,5.62,5.7,5.58,291740,ok
72,1200009600,5.66,5.62,5.7,5.62,78900,ok
73,1200268800,5.66,5.85,5.85,5.66,215790,ok
74,1200355200,5.42,5.46,5.5,5.38,199290,ok
75,1200441600,5.66,5.58,5.66,5.58,171870,ok
76,1200528000,5.66,5.89,5.93,5.5,248700,ok
77,1200614400,5.74,5.66,5.78,5.58,187430,ok
78,1200873600,5.58,5.66,5.66,5.58,189070,ok
79,1200960000,5.46,5.43,5.54,5.43,165780,ok
80,1201046400,5.23,5.37,5.4,5.23,227280,ok
81,1201219200,5.32,5.23,5.32,5.23,84860,ok
82,1201478400,5.32,5.32,5.32,5.26,106560,ok
83,1201564800,5.4,5.26,5.4,5.26,188520,ok
84,1201651200,5.66,5.66,5.66,5.66,67320,ok
85,1201737600,5.83,5.54,5.83,5.49,181330,ok
86,1201824000,6.11,5.88,6.11,5.83,158800,ok
87,1202774400,5.94,6.0,6.0,5.88,109200,ok
88,1202860800,5.88,5.83,5.94,5.77,133470,ok
89,1202947200,5.94,5.88,6.05,5.88,64140,ok
90,1203033600,5.88,5.88,5.94,5.88,98660,ok
91,1203292800,5.71,5.71,5.71,5.63,106770,ok
92,1203379200,5.71,5.54,5.77,5.54,84920,ok
93,1203465600,5.66,5.71,5.77,5.63,186550,ok
94,1203552000,5.37,5.37,5.37,5.37,307420,ok
95,1203638400,5.2,5.2,5.2,5.12,90510,ok
96,1203897600,5.46,5.46,5.46,5.46,55810,ok
97,1203984000,5.43,5.43,5.54,5.34,144900,ok
98,1204070400,5.43,5.32,5.6,5.32,63040,ok
99,1204156800,5.51,5.49,5.51,5.43,68010,ok
100,1204243200,5.43,5.43,5.49,5.43,137890,ok
101,1204502400,5.17,5.37,5.37,5.17,120440,ok
102,1204588800,4.92,4.92,5.17,4.92,208800,ok
103,1204675200,4.81,4.69,4.92,4.69,270640,ok
104,1204761600,5.03,5.03,5.03,5.03,11150,ok
105,1204848000,5.26,5.26,5.26,5.26,113590,ok
106,1205107200,5.43,5.51,5.51,5.32,326010,ok
107,1205193600,5.29,5.26,5.32,5.23,100450,ok
108,1205280000,5.29,5.2,5.49,5.2,39920,ok
109,1205366400,5.32,5.49,5.49,5.26,46390,ok
110,1205452800,5.34,5.26,5.34,5.26,82740,ok
111,1205712000,5.23,5.2,5.32,5.2,128040,ok
112,1205798400,5.01,4.98,5.15,4.98,134940,ok
113,1205884800,5.01,5.01,5.15,4.98,45390,ok
114,1205971200,5.03,5.09,5.09,5.01,87310,ok
115,1206057600,4.98,5.03,5.03,4.92,52050,ok
116,1206316800,4.75,4.78,4.78,4.75,154630,ok
117,1206403200,4.53,4.53,4.55,4.53,178050,ok
118,1206489600,4.75,4.75,4.75,4.75,47960,ok
119,1206576000,4.78,4.78,4.78,4.78,51090,ok
120,1206662400,4.81,4.81,4.81,4.81,2070,ok
121,1206921600,4.84,4.84,4.84,4.84,3020,ok
122,1207008000,4.86,4.86,4.86,4.86,530,ok
123,1207094400,4.89,4.89,4.89,4.89,2360,ok
124,1207180800,4.92,4.92,4.92,4.92,33500,ok
125,1207267200,4.95,4.95,4.95,4.95,52460,ok
126,1207526400,5.03,5.03,5.03,5.03,2670,ok
127,1207612800,5.12,5.12,5.12,5.12,193450,ok
128,1207699200,5.2,5.2,5.2,5.2,22410,ok
129,1207785600,5.29,5.29,5.29,5.12,262980,ok
130,1207872000,5.23,5.2,5.23,5.2,164600,ok
131,1208304000,5.15,5.15,5.17,5.15,136390,ok
132,1208390400,5.23,5.06,5.23,5.06,154750,ok
133,1208476800,5.15,5.32,5.32,5.15,117310,ok
134,1208736000,5.2,5.15,5.2,5.09,82260,ok
135,1208822400,5.2,5.12,5.2,5.12,20670,ok
136,1208908800,5.12,5.12,5.12,5.12,68250,ok
137,1208995200,5.03,5.03,5.06,5.03,97210,ok
138,1209081600,5.12,4.98,5.12,4.98,31170,ok
139,1209340800,5.2,5.17,5.2,5.17,67610,ok
140,1209427200,5.29,5.29,5.29,5.2,142440,ok
141,1209945600,5.2,5.29,5.32,5.2,32320,ok
142,1210032000,5.12,5.12,5.12,5.12,4640,ok
143,1210118400,5.2,5.03,5.2,5.03,92580,ok
144,1210204800,5.2,5.12,5.2,5.12,87260,ok
145,1210291200,5.12,5.12,5.12,5.12,1320,ok
146,1210550400,5.03,5.03,5.03,5.03,660,ok
147,1210636800,4.95,4.95,4.95,4.95,60,ok
148,1210723200,4.86,4.86,4.86,4.86,230,ok
149,1210809600,4.78,4.81,4.81,4.78,4420,ok
150,1210896000,4.69,4.69,4.69,4.69,28510,ok
151,1211155200,4.61,4.61,4.61,4.61,84520,ok
152,1211241600,4.53,4.53,4.53,4.53,4270,ok
153,1211328000,4.44,4.44,4.44,4.44,470,ok
154,1211414400,4.36,4.36,4.36,4.36,90660,ok
155,1211500800,4.27,4.27,4.36,4.27,774950,ok
156,1211760000,4.18,4.18,4.18,4.18,432440,ok
157,1212105600,4.13,4.13,4.13,4.13,533870,ok
158,1212364800,4.07,4.07,4.07,4.07,309100,ok
159,1212451200,4.02,4.02,4.02,4.02,139990,ok
160,1212537600,4.07,3.96,4.07,3.96,217760,ok
161,1212624000,4.13,4.04,4.13,4.02,143800,ok
162,1212710400,4.18,4.18,4.18,4.18,59450,ok
163,1212969600,4.24,4.24,4.24,4.24,54800,ok
164,1213056000,4.16,4.16,4.18,4.16,35250,ok
165,1213142400,4.21,4.1,4.21,4.1,95560,ok
166,1213228800,4.27,4.27,4.27,4.27,34780,ok
167,1213315200,4.36,4.36,4.36,4.36,57400,ok
168,1213574400,4.44,4.44,4.44,4.44,5360,ok
169,1213660800,4.53,4.53,4.53,4.53,10520,ok
170,1213747200,4.53,4.61,4.61,4.44,319590,ok
171,1213833600,4.41,4.41,4.41,4.41,119040,ok
172,1213920000,4.53,4.3,4.53,4.3,272120,ok
173,1214179200,4.64,4.64,4.64,4.61,50530,ok
174,1214265600,4.75,4.75,4.75,4.75,36030,ok
175,1214352000,4.89,4.89,4.89,4.89,18180,ok
176,1214438400,5.01,5.03,5.03,4.86,116050,ok
177,1214524800,5.15,4.92,5.15,4.89,102260,ok
178,1214784000,5.29,5.15,5.29,5.15,63360,ok
179,1214870400,5.43,5.43,5.43,5.43,35400,ok
180,1214956800,5.57,5.57,5.57,5.37,121980,ok
181,1215043200,5.71,5.71,5.71,5.71,30380,ok
182,1215129600,5.66,5.88,5.88,5.66,173070,ok
183,1215388800,5.66,5.66,5.66,5.49,278490,ok
184,1215475200,5.66,5.51,5.66,5.49,234670,ok
185,1215561600,5.71,5.66,5.71,5.66,79660,ok
186,1215648000,5.77,5.66,5.77,5.6,133480,ok
187,1215734400,5.77,5.66,5.83,5.66,84100,ok
188,1215993600,5.94,5.83,5.94,5.77,103080,ok
189,1216080000,6.11,6.11,6.11,6.11,63290,ok
190,1216166400,6.11,6.22,6.22,5.94,100670,ok
191,1216252800,6.11,6.17,6.17,6.0,102320,ok
192,1216339200,6.11,5.94,6.11,5.94,131500,ok
193,1216598400,5.94,5.94,5.94,5.94,140410,ok
194,1216684800,5.77,5.77,5.77,5.77,113700,ok
195,1216857600,5.6,5.46,5.71,5.46,100040,ok
196,1216944000,5.71,5.49,5.71,5.49,29120,ok
197,1217203200,5.88,5.71,5.88,5.71,28360,ok
198,1217289600,6.05,6.05,6.05,5.94,37950,ok
199,1217376000,6.05,6.05,6.05,5.88,47730,ok
200,1217462400,6.0,5.88,6.0,5.88,35120,ok
201,1217548800,6.0,5.83,6.0,5.83,51080,ok
202,1217808000,6.0,5.88,6.0,5.83,42780,ok
203,1217894400,5.94,5.83,5.94,5.83,50090,ok
204,1217980800,6.11,6.11,6.11,6.0,30790,ok
205,1218067200,6.05,6.17,6.17,6.05,66220,ok
206,1218153600,6.05,6.05,6.05,6.0,57300,ok
207,1218412800,6.05,6.17,6.17,6.05,38800,ok
208,1218499200,6.0,5.94,6.05,5.94,34260,ok
209,1218585600,6.05,5.83,6.05,5.83,41550,ok
210,1218672000,6.22,6.05,6.22,6.05,176550,ok
211,1218758400,6.39,6.39,6.39,6.39,283800,ok
212,1219017600,6.67,6.67,6.67,6.62,385970,ok
213,1219104000,6.73,6.9,6.9,6.56,66730,ok
214,1219190400,6.45,6.45,6.56,6.45,91250,ok
215,1219276800,6.56,6.45,6.56,6.28,36350,ok
216,1219363200,6.33,6.56,6.56,6.33,134110,ok
217,1219622400,6.45,6.39,6.5,6.33,102310,ok
218,1219708800,6.45,6.5,6.5,6.28,135090,ok
219,1219795200,6.5,6.22,6.56,6.22,124110,ok
220,1219881600,6.33,6.22,6.45,6.22,107590,ok
221,1219968000,6.05,6.05,6.17,6.05,137120,ok
222,1220486400,5.88,6.0,6.05,5.88,113460,ok
223,1220572800,5.77,5.66,5.88,5.66,87480,ok
224,1220832000,5.83,5.49,5.83,5.49,104190,ok
225,1220918400,5.71,5.77,5.77,5.66,88690,ok
226,1221004800,5.43,5.71,5.71,5.43,98910,ok
227,1221091200,5.37,5.4,5.4,5.26,81150,ok
228,1221177600,5.12,5.12,5.32,5.12,110250,ok
229,1221436800,5.15,4.86,5.2,4.86,106760,ok
230,1221523200,4.89,5.15,5.15,4.89,68270,ok
231,1221609600,4.67,4.67,4.75,4.67,134340,ok
232,1221696000,4.44,4.44,4.44,4.44,8770,ok
233,1221782400,4.64,4.44,4.64,4.44,55080,ok
234,1222041600,4.86,4.86,4.86,4.86,1980,ok
235,1222128000,5.09,5.09,5.09,4.92,82530,ok
236,1222214400,4.92,4.86,5.2,4.86,121100,ok
237,1222300800,5.15,4.92,5.15,4.92,138590,ok
238,1222387200,5.4,5.4,5.4,5.29,141480,ok
239,1222646400,5.63,5.66,5.66,5.43,98040,ok
240,1222732800,5.37,5.37,5.37,5.37,65820,ok
241,1222819200,5.49,5.37,5.54,5.34,93830,ok
242,1222905600,5.6,5.66,5.66,5.54,83330,ok
243,1222992000,5.37,5.49,5.6,5.37,61480,ok
244,1223251200,5.12,5.15,5.29,5.12,80380,ok
245,1223337600,4.86,4.86,4.86,4.86,55180,ok
246,1223424000,4.75,4.64,4.98,4.64,66600,ok
247,1223510400,4.75,4.53,4.92,4.53,91600,ok
248,1223596800,4.55,4.55,4.61,4.55,96580,ok
249,1223856000,4.64,4.75,4.75,4.55,112380,ok
250,1223942400,4.86,4.86,4.86,4.86,46760,ok
251,1224028800,4.98,5.03,5.03,4.86,85490,ok
252,1224115200,4.78,4.75,4.92,4.75,93070,ok
253,1224201600,4.61,4.67,4.81,4.61,72950,ok
254,1224460800,4.5,4.5,4.61,4.5,56770,ok
255,1224547200,4.64,4.64,4.64,4.58,82250,ok
256,1224633600,4.67,4.47,4.67,4.47,75770,ok
257,1224720000,4.64,4.67,4.67,4.47,43120,ok
258,1224806400,4.44,4.44,4.5,4.44,83440,ok
259,1225065600,4.24,4.24,4.3,4.24,252280,ok
260,1225152000,4.04,4.04,4.04,4.04,32190,ok
261,1225238400,4.04,4.24,4.24,4.04,45410,ok
262,1225324800,3.87,3.85,3.9,3.85,113730,ok
263,1225411200,4.04,4.04,4.04,4.04,19370,ok
264,1225670400,4.04,4.04,4.07,4.04,76340,ok
265,1225756800,4.24,4.04,4.24,4.02,13750,ok
266,1225843200,4.44,4.44,4.44,4.44,13990,ok
267,1225929600,4.44,4.24,4.64,4.24,32750,ok
268,1226016000,4.33,4.24,4.41,4.24,17530,ok
269,1226275200,4.41,4.33,4.44,4.33,31150,ok
270,1226361600,4.36,4.41,4.41,4.27,15880,ok
271,1226448000,4.21,4.18,4.36,4.16,50750,ok
272,1226534400,4.36,4.33,4.38,4.3,64860,ok
273,1226620800,4.41,4.53,4.53,4.41,18700,ok
274,1226880000,4.41,4.33,4.41,4.33,53830,ok
275,1226966400,4.44,4.41,4.44,4.38,45650,ok
276,1227052800,4.47,4.5,4.5,4.44,44710,ok
277,1227139200,4.47,4.44,4.47,4.36,41700,ok
278,1227225600,4.44,4.44,4.47,4.44,109940,ok
279,1227484800,4.53,4.53,4.55,4.53,61240,ok
280,1227571200,4.64,4.53,4.64,4.53,82240,ok
281,1227657600,4.61,4.64,4.64,4.53,57190,ok
282,1227744000,4.55,4.58,4.64,4.55,21500,ok
283,1227830400,4.58,4.58,4.64,4.55,54050,ok
284,1228089600,4.64,4.61,4.64,4.58,41350,ok
285,1228176000,4.61,4.58,4.61,4.55,42760,ok
286,1228262400,4.61,4.61,4.64,4.61,21060,ok
287,1228348800,4.67,4.58,4.67,4.58,32940,ok
288,1228435200,4.58,4.64,4.64,4.58,30630,ok
289,1228694400,4.5,4.36,4.53,4.36,32960,ok
290,1228780800,4.64,4.41,4.64,4.41,40210,ok
291,1228867200,4.41,4.64,4.64,4.41,42320,ok
292,1228953600,4.47,4.41,4.53,4.21,48180,ok
293,1229040000,4.67,4.55,4.67,4.55,37270,ok
294,1229299200,4.75,4.81,4.81,4.69,29470,ok
295,1229385600,4.72,4.86,4.86,4.72,60630,ok
296,1229472000,4.75,4.72,4.75,4.64,35560,ok
297,1229558400,4.78,4.75,4.78,4.72,35110,ok
298,1229644800,4.55,4.69,4.78,4.55,15100,ok
299,1229904000,4.47,4.75,4.75,4.47,7260,ok
300,1229990400,4.33,4.36,4.36,4.33,9580,ok
301,1230076800,4.33,4.24,4.33,4.24,20680,ok
302,1230163200,4.33,4.36,4.38,4.33,3610,ok
303,1230249600,4.33,4.33,4.36,4.33,5550,ok
304,1230508800,4.36,4.33,4.41,4.33,4330,ok
305,1230595200,4.5,4.36,4.5,4.36,13790,ok
306,1230681600,4.5,4.47,4.5,4.47,9130,ok
307,1230854400,4.53,4.53,4.53,4.53,200,ok
308,1231113600,4.53,4.3,4.53,4.3,6550,ok
309,1231286400,4.47,4.36,4.47,4.36,2920,ok
310,1231372800,4.47,4.41,4.47,4.41,23750,ok
311,1231459200,4.44,4.36,4.47,4.36,1700,ok
312,1231718400,4.44,4.3,4.44,4.3,6160,ok
313,1231804800,4.41,4.36,4.41,4.36,6570,ok
314,1231891200,4.47,4.33,4.47,4.33,7250,ok
315,1231977600,4.44,4.36,4.47,4.36,3300,ok
316,1232064000,4.64,4.53,4.64,4.53,40370,ok
317,1232323200,4.64,4.64,4.75,4.64,4680,ok
318,1232409600,4.64,4.64,4.64,4.64,12780,ok
319,1232496000,4.61,4.64,4.64,4.58,2150,ok
320,1232582400,4.47,4.61,4.61,4.47,26920,ok
321,1232668800,4.53,4.53,4.53,4.47,5870,ok
322,1233532800,4.58,4.53,4.64,4.58,1100,ok
323,1233619200,4.41,4.38,4.53,4.38,71750,ok
324,1233705600,4.21,4.36,4.38,4.21,10540,ok
325,1233792000,4.02,4.18,4.18,4.02,25700,ok
326,1233878400,4.02,4.18,4.18,3.96,16510,ok
327,1234137600,4.07,3.96,4.18,3.96,9870,ok
328,1234224000,3.99,3.96,4.02,3.96,1760,ok
329,1234310400,3.79,3.9,3.9,3.79,24360,ok
330,1234396800,3.82,3.68,3.9,3.68,12640,ok
331,1234483200,3.76,3.79,3.82,3.76,360,ok
332,1234742400,3.68,3.68,3.68,3.65,1750,ok
333,1234828800,3.51,3.68,3.68,3.51,4350,ok
334,1234915200,3.34,3.34,3.37,3.34,1550,ok
335,1235001600,3.22,3.34,3.34,3.2,10250,ok
336,1235088000,3.08,3.08,3.08,3.08,1820,ok
337,1235347200,2.94,2.94,2.94,2.94,780,ok
338,1235433600,2.79,2.8,2.8,2.79,160,ok
339,1235520000,2.66,2.66,2.74,2.66,33330,ok
340,1235606400,2.53,2.53,2.53,2.53,2600,ok
341,1235692800,2.4,2.4,2.4,2.4,4640,ok
342,1235952000,2.32,2.29,2.32,2.29,12190,ok
343,1236038400,2.21,2.26,2.32,2.21,8130,ok
344,1236124800,2.14,2.31,2.31,2.14,165080,ok
345,1236211200,2.14,2.24,2.24,2.14,50430,ok
346,1236297600,2.05,2.23,2.23,2.05,85640,ok
347,1236556800,2.06,2.12,2.15,2.05,53770,ok
348,1236643200,2.17,2.06,2.17,2.04,21540,ok
349,1236729600,2.1,2.21,2.25,2.1,142160,ok
350,1236816000,2.0,2.07,2.08,2.0,109200,ok
351,1236902400,1.91,1.98,2.03,1.91,187880,ok
352,1237161600,2.0,1.91,2.0,1.91,358660,ok
353,1237248000,2.09,2.09,2.09,2.06,461550,ok
354,1237334400,2.19,2.19,2.19,2.18,680220,ok
355,1237420800,2.08,2.1,2.11,2.08,549010,ok
356,1237507200,1.98,1.98,1.98,1.98,102040,ok
357,1237766400,1.88,1.88,1.88,1.88,89960,ok
358,1237852800,1.97,1.97,1.97,1.87,1058250,ok
359,1237939200,2.07,1.95,2.07,1.95,271510,ok
360,1238025600,2.17,2.17,2.17,2.1,256100,ok
361,1238112000,2.28,2.28,2.28,2.23,694790,ok
362,1238371200,2.39,2.38,2.39,2.32,760630,ok
363,1238457600,2.27,2.38,2.39,2.27,364960,ok
364,1238544000,2.38,2.26,2.39,2.21,360900,ok
365,1238630400,2.35,2.38,2.4,2.35,359180,ok
366,1238716800,2.47,2.47,2.47,2.44,167730,ok
367,1239062400,2.58,2.58,2.58,2.49,313750,ok
368,1239148800,2.5,2.58,2.71,2.48,523200,ok
369,1239235200,2.39,2.5,2.54,2.38,350800,ok
370,1239321600,2.51,2.51,2.51,2.5,136280,ok
371,1239580800,2.63,2.63,2.63,2.63,86540,ok
372,1239667200,2.64,2.6,2.71,2.54,426080,ok
373,1239753600,2.51,2.51,2.6,2.51,226180,ok
374,1239840000,2.51,2.51,2.51,2.4,289920,ok
375,1239926400,2.38,2.44,2.49,2.38,191550,ok
376,1240185600,2.26,2.26,2.26,2.26,209900,ok
377,1240272000,2.15,2.15,2.15,2.15,278550,ok
378,1240358400,2.26,2.26,2.26,2.18,178640,ok
379,1240444800,2.23,2.18,2.26,2.17,188790,ok
380,1240531200,2.17,2.15,2.18,2.15,91920,ok
381,1240790400,2.26,2.26,2.27,2.23,121800,ok
382,1240876800,2.26,2.15,2.29,2.15,68600,ok
383,1240963200,2.26,2.26,2.26,2.21,80160,ok
384,1241395200,2.38,2.38,2.38,2.38,23560,ok
385,1241481600,2.49,2.49,2.49,2.49,120020,ok
386,1241568000,2.38,2.37,2.49,2.37,195210,ok
387,1241654400,2.43,2.47,2.48,2.43,93220,ok
388,1241740800,2.39,2.33,2.43,2.33,60740,ok
389,1242000000,2.49,2.48,2.51,2.43,181710,ok
390,1242086400,2.6,2.49,2.6,2.46,108000,ok
391,1242172800,2.48,2.49,2.6,2.48,120240,ok
392,1242259200,2.54,2.38,2.54,2.38,87050,ok
393,1242345600,2.63,2.6,2.63,2.54,120870,ok
394,1242604800,2.61,2.63,2.66,2.6,102160,ok
395,1242691200,2.74,2.74,2.74,2.73,176850,ok
396,1242777600,2.86,2.86,2.86,2.86,62030,ok
397,1242864000,3.0,3.0,3.0,3.0,38170,ok
398,1242950400,3.14,3.14,3.14,2.91,289500,ok
399,1243209600,3.28,3.28,3.28,3.28,55220,ok
400,1243296000,3.42,3.42,3.42,3.42,37440,ok
401,1243382400,3.59,3.59,3.59,3.59,26810,ok
402,1243468800,3.76,3.76,3.76,3.62,352890,ok
403,1243555200,3.79,3.93,3.93,3.65,157610,ok
404,1243814400,3.73,3.65,3.87,3.65,173360,ok
405,1243900800,3.87,3.9,3.9,3.87,110190,ok
406,1243987200,3.87,3.87,3.87,3.79,166410,ok
407,1244073600,4.04,3.93,4.04,3.93,107820,ok
408,1244160000,4.24,4.24,4.24,4.24,54890,ok
409,1244419200,4.44,4.44,4.44,4.44,32360,ok
410,1244505600,4.41,4.47,4.53,4.27,138430,ok
411,1244592000,4.21,4.21,4.21,4.21,108150,ok
412,1244678400,4.41,4.13,4.21,4.13,65310,ok
413,1244764800,4.36,4.61,4.61,4.21,45370,ok
414,1245024000,4.16,4.21,4.3,4.16,71420,ok
415,1245110400,3.96,3.96,3.96,3.96,81370,ok
416,1245196800,3.99,3.76,4.07,3.76,129400,ok
417,1245283200,4.04,3.99,4.07,3.9,158720,ok
418,1245369600,4.16,4.18,4.18,4.04,150290,ok
419,1245628800,4.36,4.36,4.36,4.18,203780,ok
420,1245715200,4.16,4.24,4.36,4.16,74390,ok
421,1245801600,4.36,4.36,4.36,4.3,120850,ok
422,1245888000,4.33,4.55,4.55,4.18,185410,ok
423,1245974400,4.41,4.38,4.5,4.33,161090,ok
424,1246233600,4.41,4.47,4.47,4.38,105480,ok
425,1246406400,4.02,4.02,4.13,4.02,51990,ok
426,1246492800,4.21,4.21,4.21,4.21,37850,ok
427,1246579200,4.42,4.42,4.42,4.35,210630,ok
428,1246838400,4.53,4.48,4.61,4.38,160760,ok
429,1246924800,4.3,4.31,4.44,4.3,103600,ok
430,1247011200,4.09,4.1,4.21,4.09,115670,ok
431,1247097600,4.08,4.09,4.23,4.08,34500,ok
432,1247184000,3.95,3.99,4.04,3.95,47010,ok
433,1247443200,3.75,3.82,3.85,3.75,41560,ok
434,1247529600,3.77,3.8,3.8,3.57,99540,ok
435,1247616000,3.82,3.81,3.86,3.77,19530,ok
436,1247702400,3.95,4.0,4.0,3.83,38430,ok
437,1247788800,4.04,3.93,4.08,3.92,61980,ok
438,1248048000,3.84,3.91,3.92,3.84,53450,ok
439,1248134400,3.86,3.93,3.93,3.84,34740,ok
440,1248220800,4.05,4.05,4.05,4.05,44420,ok
441,1248307200,4.25,4.25,4.25,4.2,100070,ok
442,1248393600,4.45,4.45,4.45,4.45,14140,ok
443,1248652800,4.67,4.67,4.67,4.67,44510,ok
444,1248739200,4.89,4.89,4.89,4.89,148200,ok
445,1248912000,4.76,4.76,4.76,4.76,103030,ok
446,1248998400,4.89,4.58,4.98,4.58,107360,ok
447,1249257600,4.85,4.76,5.03,4.76,29250,ok
448,1249430400,4.8,4.71,4.85,4.71,36860,ok
449,1249516800,4.94,4.94,5.03,4.94,173700,ok
450,1249603200,4.94,4.98,5.03,4.94,78630,ok
451,1249862400,4.98,4.98,5.03,4.94,50420,ok
452,1249948800,4.89,4.94,5.03,4.89,46830,ok
453,1250035200,4.94,4.85,4.94,4.85,50630,ok
454,1250121600,5.03,4.98,5.03,4.94,78900,ok
455,1250208000,5.03,5.07,5.07,4.94,27690,ok
456,1250467200,4.89,4.94,5.03,4.89,33260,ok
457,1250553600,4.98,4.89,4.98,4.85,30400,ok
458,1250640000,5.07,4.98,5.07,4.94,67050,ok
459,1250726400,5.03,5.07,5.12,5.03,55800,ok
460,1250812800,4.94,5.12,5.16,4.94,110920,ok
461,1251072000,5.16,5.07,5.16,5.03,207640,ok
462,1251158400,5.39,5.39,5.39,5.34,340430,ok
463,1251244800,5.48,5.57,5.66,5.48,328480,ok
464,1251331200,5.48,5.52,5.57,5.39,153420,ok
465,1251417600,5.61,5.57,5.61,5.43,194370,ok
466,1251676800,5.79,5.61,5.79,5.61,330060,ok
467,1251763200,5.66,5.84,5.84,5.66,155950,ok
468,1251936000,5.48,5.48,5.61,5.48,76170,ok
469,1252022400,5.3,5.48,5.57,5.3,100520,ok
470,1252281600,5.12,5.21,5.21,5.07,121200,ok
471,1252368000,5.34,5.25,5.34,5.25,154160,ok
472,1252454400,5.3,5.34,5.39,5.21,65900,ok
473,1252540800,5.34,5.25,5.34,5.21,43660,ok
474,1252627200,5.34,5.43,5.48,5.34,83980,ok
475,1252886400,5.39,5.52,5.52,5.3,175390,ok
476,1252972800,5.21,5.39,5.39,5.21,111670,ok
477,1253059200,5.16,6.29,5.3,5.16,78400,ok
478,1253145600,5.25,5.16,5.3,5.12,123390,ok
479,1253232000,5.3,5.25,5.3,5.21,111910,ok
480,1253491200,5.52,5.39,5.52,5.3,96900,ok
481,1253577600,5.79,5.79,5.79,5.79,90190,ok
482,1253664000,6.06,6.06,6.06,6.06,213410,ok
483,1253750400,5.88,5.88,6.06,5.79,336700,ok
484,1253836800,6.02,5.75,6.02,5.75,169710,ok
485,1254096000,5.93,6.02,6.02,5.84,119100,ok
486,1254182400,5.88,5.93,5.93,5.75,131210,ok
487,1254268800,5.75,5.88,5.88,5.75,121720,ok
488,1254355200,5.7,6.02,6.02,5.7,116420,ok
489,1254441600,5.52,5.7,5.7,5.48,69310,ok
490,1254700800,5.7,5.52,5.75,5.52,65960,ok
491,1254787200,5.93,5.97,5.97,5.88,231980,ok
492,1254873600,5.97,5.88,6.02,5.88,109390,ok
493,1254960000,5.79,5.93,5.97,5.79,59630,ok
494,1255046400,6.06,6.02,6.06,5.97,146710,ok
495,1255305600,6.24,6.06,6.33,6.06,240400,ok
496,1255392000,6.29,6.24,6.29,6.15,158190,ok
497,1255478400,6.46,6.29,6.55,6.15,198440,ok
498,1255564800,6.78,6.78,6.78,6.51,128150,ok
499,1255651200,6.73,6.69,6.78,6.46,235680,ok
500,1255910400,6.78,6.73,6.78,6.55,202230,ok
501,1255996800,7.09,6.96,7.09,6.91,262620,ok
502,1256083200,7.27,7.09,7.36,7.09,128250,ok
503,1256169600,7.27,7.14,7.27,7.09,289460,ok
504,1256256000,7.63,7.63,7.63,7.36,452120,ok
505,1256515200,7.81,7.9,7.95,7.81,183000,ok
506,1256601600,7.63,7.63,7.63,7.45,229550,ok
507,1256688000,7.63,7.72,7.72,7.45,141680,ok
508,1256774400,7.45,7.36,7.45,7.27,196400,ok
509,1256860800,7.63,7.59,7.63,7.45,143230,ok
510,1257120000,7.36,7.36,7.54,7.27,246230,ok
511,1257206400,7.05,7.45,7.45,7.05,119110,ok
512,1257292800,7.36,7.18,7.36,7.18,197230,ok
513,1257379200,7.72,7.72,7.72,7.72,75700,ok
514,1257465600,8.08,8.08,8.08,7.9,271570,ok
515,1257724800,8.08,8.04,8.17,8.04,122730,ok
516,1257811200,8.35,8.35,8.44,7.99,114150,ok
517,1257897600,8.75,8.62,8.75,8.62,86080,ok
518,1257984000,9.16,8.98,9.16,8.98,161560,ok
519,1258070400,9.25,9.16,9.25,8.98,183080,ok
520,1258329600,9.7,9.7,9.7,9.61,190440,ok
521,1258416000,10.06,10.06,10.06,9.7,444440,ok
522,1258502400,9.88,10.06,10.24,9.79,599030,ok
523,1258588800,9.7,9.61,9.88,9.43,426010,ok
524,1258675200,10.06,9.7,10.06,9.43,195130,ok
525,1258934400,9.88,9.88,9.88,9.61,122000,ok
526,1259020800,9.97,9.88,10.06,9.7,73070,ok
527,1259107200,9.7,9.7,9.88,9.52,73500,ok
528,1259193600,10.15,9.25,10.15,9.25,139450,ok
529,1259280000,10.06,9.7,10.33,9.7,127600,ok
530,1259539200,10.51,10.33,10.51,9.97,104680,ok
531,1259625600,10.33,10.33,10.51,10.24,129550,ok
532,1259712000,10.06,10.15,10.24,9.97,44700,ok
533,1259798400,9.88,9.79,10.06,9.61,82200,ok
534,1259884800,9.52,9.88,9.88,9.43,265970,ok
535,1260144000,9.43,9.52,9.52,9.16,196900,ok
536,1260230400,9.43,9.16,9.43,9.07,270030,ok
537,1260316800,9.25,9.25,9.43,8.98,33670,ok
538,1260403200,9.25,9.25,9.25,8.89,95520,ok
539,1260489600,9.34,8.98,9.34,8.8,67400,ok
540,1260748800,9.52,9.52,9.7,9.34,72360,ok
541,1260835200,9.07,9.52,9.52,9.07,102670,ok
542,1260921600,8.62,8.71,8.71,8.62,99920,ok
543,1261008000,8.35,8.22,8.35,8.22,164980,ok
544,1261094400,7.95,7.95,8.17,7.95,154510,ok
545,1261353600,8.3,8.26,8.3,7.77,23770,ok
546,1261440000,8.71,8.71,8.71,8.53,20950,ok
